step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
1,S,S1,,-1,0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
2,S1,P,frwd,-5,-0.3,0.0,0.3,0.35,0.0,"{""frwd"": 0}"
3,P,E,frwd,-10,-1.5,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
4,E,E,frwd,-10,-3.0,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
5,S,S1,,-1,-3.0,0.0,0.0,0.0,0.0,"{""frwd"": -1.5}"
6,S1,P,frwd,-5,-0.6150000000000001,0.0,0.6150000000000001,0.19249999999999995,0.0,"{""frwd"": -3.0}"
7,P,E,frwd,-10,-1.8599999999999999,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
8,E,E,frwd,-10,-2.9099999999999997,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
9,S,S1,,-1,-2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -3.36}"
10,S1,P,frwd,-5,-0.9327,0.0,0.9327,0.03365000000000001,0.0,"{""frwd"": -5.91}"
11,P,E,frwd,-10,-2.0877,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
12,E,E,frwd,-10,-2.6039999999999996,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
13,S,S1,,-1,-2.6039999999999996,0.0,0.0,0.0,0.0,"{""frwd"": -5.447699999999999}"
14,S1,G,frwd,10,-1.216569,1.0,1.0,0.0,0.0,"{""frwd"": 0}"
15,G,G,frwd,10,4.634309999999999,0.0,1.0,1.0,0.0,"{""frwd"": 0}"
16,S,S1,,-1,4.634309999999999,0.0,0.0,0.0,0.0,"{""frwd"": -0.8133900000000001}"
17,S1,P,frwd,-5,0.3996654,0.25,0.3996654,0.6998327,0.0,"{""frwd"": -8.514}"
18,P,E,frwd,-10,-3.554763,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
19,E,E,frwd,-10,-2.2197,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
20,S,S1,,-1,-2.2197,0.0,0.0,0.0,0.0,"{""frwd"": -4.3681529999999995}"
21,S1,P,frwd,-5,-0.6800202299999999,0.19999999999999996,0.6800202299999999,0.15998988500000005,0.0,"{""frwd"": -10.733699999999999}"
22,P,E,frwd,-10,-3.0876531000000003,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
23,E,E,frwd,-10,-1.8316199999999998,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
24,S,S1,,-1,-1.8316199999999998,0.0,0.0,0.0,0.0,"{""frwd"": -7.4558061}"
25,S1,P,frwd,-5,-1.3096804979999999,0.16666666666666663,1.0,0.0,0.0,"{""frwd"": -12.565319999999998}"
26,P,E,frwd,-10,-2.6558945699999996,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
27,E,E,frwd,-10,-1.476615,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
28,S,S1,,-1,-1.476615,0.0,0.0,0.0,0.0,"{""frwd"": -10.11170067}"
29,S1,G,frwd,10,-1.6338678824999997,0.8571428571428572,1.0,0.0,0.0,"{""frwd"": 3.0}"
30,G,G,frwd,10,6.843510201,0.0,1.0,1.0,0.0,"{""frwd"": 3.0}"
31,S,S1,,-1,6.843510201,0.0,0.0,0.0,0.0,"{""frwd"": -3.2681904689999994}"
