step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
1,S,S1,,-1,0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
2,S1,P,frwd,-5,-0.3,0.0,0.3,0.35,0.0,"{""frwd"": 0}"
3,P,E,frwd,-10,-1.5,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
4,E,E,frwd,-10,-3.0,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
5,S,S1,,-1,-3.0,0.0,0.0,0.0,0.0,"{""frwd"": -1.5}"
6,S1,G,frwd,10,-0.6150000000000001,1.0,0.6150000000000001,0.19249999999999995,0.0,"{""frwd"": 0}"
7,G,G,frwd,10,3.4499999999999997,0.0,1.0,1.0,0.0,"{""frwd"": 0}"
8,S,S1,,-1,3.4499999999999997,0.0,0.0,0.0,0.0,"{""frwd"": 1.9499999999999997}"
9,S1,P,frwd,-5,0.501,0.5,0.501,0.7505,0.0,"{""frwd"": -3.0}"
10,P,E,frwd,-10,-2.895,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
11,E,E,frwd,-10,-2.9099999999999997,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
12,S,S1,,-1,-2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -0.9450000000000003}"
13,S1,P,frwd,-5,-0.43095,0.33333333333333337,0.43095,0.28452500000000003,0.0,"{""frwd"": -5.91}"
14,P,E,frwd,-10,-2.8121999999999994,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
15,E,E,frwd,-10,-2.6039999999999996,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
16,S,S1,,-1,-2.6039999999999996,0.0,0.0,0.0,0.0,"{""frwd"": -3.7571999999999997}"
17,S1,P,frwd,-5,-1.060959,0.25,1.0,0.0,0.0,"{""frwd"": -8.514}"
18,P,E,frwd,-10,-2.67162,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
19,E,E,frwd,-10,-2.2197,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
20,S,S1,,-1,-2.2197,0.0,0.0,0.0,0.0,"{""frwd"": -6.42882}"
21,S1,P,frwd,-5,-1.4640086999999997,0.19999999999999996,1.0,0.0,0.0,"{""frwd"": -10.733699999999999}"
22,P,E,frwd,-10,-2.469453,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
23,E,E,frwd,-10,-1.8316199999999998,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
24,S,S1,,-1,-1.8316199999999998,0.0,0.0,0.0,0.0,"{""frwd"": -8.898273}"
25,S1,P,frwd,-5,-1.6915583999999997,0.16666666666666663,1.0,0.0,0.0,"{""frwd"": -12.565319999999998}"
26,P,E,frwd,-10,-2.2231545,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
27,E,E,frwd,-10,-1.476615,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
28,S,S1,,-1,-1.476615,0.0,0.0,0.0,0.0,"{""frwd"": -11.1214275}"
29,S1,G,frwd,10,-1.7843425949999998,0.8571428571428572,1.0,0.0,0.0,"{""frwd"": 3.0}"
30,G,G,frwd,10,7.14642825,0.0,1.0,1.0,0.0,"{""frwd"": 3.0}"
31,S,S1,,-1,7.14642825,0.0,0.0,0.0,0.0,"{""frwd"": -3.9749992499999998}"
