step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
1,S,S1,,-1,0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
2,S1,P,frwd,-5,-0.3,0.0,0.3,0.35,0.0,"{""frwd"": 0}"
3,P,E,frwd,-10,-1.5,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
4,E,E,frwd,-10,-3.0,0.0,1.0,0.0,0.0,"{""frwd"": 0}"
5,S,S1,,-1,-3.0,0.0,0.0,0.0,0.0,"{""frwd"": -1.5}"
6,S1,G,frwd,10,-0.6150000000000001,1.0,0.6150000000000001,0.19249999999999995,0.0,"{""frwd"": 0}"
7,G,G,frwd,10,3.4499999999999997,0.0,1.0,1.0,0.0,"{""frwd"": 0}"
8,S,S1,,-1,3.4499999999999997,0.0,0.0,0.0,0.0,"{""frwd"": 1.9499999999999997}"
9,S1,P,frwd,-5,0.501,0.5,0.501,0.7505,0.0,"{""frwd"": -3.0}"
10,P,E,frwd,-10,-2.895,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
11,E,E,frwd,-10,-2.9099999999999997,0.0,1.0,0.0,0.0,"{""frwd"": -3.0}"
12,S,S1,,-1,-2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -0.9450000000000003}"
13,S1,P,frwd,-5,-0.43095,0.33333333333333337,0.43095,0.28452500000000003,0.0,"{""frwd"": -5.91}"
14,P,E,frwd,-10,-2.8121999999999994,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
15,E,E,frwd,-10,-2.6039999999999996,0.0,1.0,0.0,0.0,"{""frwd"": -5.1}"
16,S,S1,,-1,-2.6039999999999996,0.0,0.0,0.0,0.0,"{""frwd"": -3.7571999999999997}"
17,S1,G,frwd,10,-1.060959,0.75,1.0,0.0,0.0,"{""frwd"": 3.0}"
18,G,G,frwd,10,4.9371599999999995,0.0,1.0,1.0,0.0,"{""frwd"": 3.0}"
19,S,S1,,-1,4.9371599999999995,0.0,0.0,0.0,0.0,"{""frwd"": 1.17996}"
20,S1,P,frwd,-5,0.5903619,0.4,0.5903619,0.79518095,0.0,"{""frwd"": -8.514}"
21,P,E,frwd,-10,-4.152767999999999,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
22,E,E,frwd,-10,-2.2197,0.0,1.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
23,S,S1,,-1,-2.2197,0.0,0.0,0.0,0.0,"{""frwd"": -2.9728079999999992}"
24,S1,P,frwd,-5,-0.7079940299999998,0.33333333333333337,0.7079940299999998,0.14600298500000009,0.0,"{""frwd"": -10.733699999999999}"
25,P,E,frwd,-10,-3.5062566000000004,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
26,E,E,frwd,-10,-1.8316199999999998,0.0,1.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
27,S,S1,,-1,-1.8316199999999998,0.0,0.0,0.0,0.0,"{""frwd"": -6.479064599999999}"
28,S1,P,frwd,-5,-1.442285103,0.2857142857142857,1.0,0.0,0.0,"{""frwd"": -12.565319999999998}"
29,P,E,frwd,-10,-2.94891702,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
30,E,E,frwd,-10,-1.476615,0.0,1.0,0.0,0.0,"{""frwd"": -8.3193}"
31,S,S1,,-1,-1.476615,0.0,0.0,0.0,0.0,"{""frwd"": -9.427981619999999}"
