step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
1,S,S1,,-1.0,0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
2,S1,G,frwd,10.0,-0.3,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
3,G,G,frwd,10.0,3.0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
4,S,S1,,-1.0,3.0,0.0,0.0,0.0,0.0,"{""frwd"": 3.0}"
5,S1,G,frwd,10.0,0.6,0.0,0.0,0.0,0.0,"{""frwd"": 3.0}"
6,G,G,frwd,10.0,2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": 3.0}"
7,S,S1,,-1.0,2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": 5.91}"
8,S1,P,frwd,-5.0,1.2057,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
9,P,E,frwd,-10.0,-3.273,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
10,E,E,frwd,-10.0,-3.0,0.0,0.0,0.0,0.0,"{""frwd"": 0}"
11,S,S1,,-1.0,-3.0,0.0,0.0,0.0,0.0,"{""frwd"": 2.637}"
12,S1,P,frwd,-5.0,-0.03972000000000002,0.0,0.0,0.0,0.0,"{""frwd"": -3.0}"
13,P,E,frwd,-10.0,-3.1010999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -3.0}"
14,E,E,frwd,-10.0,-2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -3.0}"
15,S,S1,,-1.0,-2.9099999999999997,0.0,0.0,0.0,0.0,"{""frwd"": -0.46409999999999973}"
16,S1,P,frwd,-5.0,-0.865101,0.0,0.0,0.0,0.0,"{""frwd"": -5.91}"
17,P,E,frwd,-10.0,-2.9564699999999995,0.0,0.0,0.0,0.0,"{""frwd"": -5.1}"
18,E,E,frwd,-10.0,-2.6039999999999996,0.0,0.0,0.0,0.0,"{""frwd"": -5.1}"
19,S,S1,,-1.0,-2.6039999999999996,0.0,0.0,0.0,0.0,"{""frwd"": -3.4205699999999992}"
20,S1,P,frwd,-5.0,-1.4038175999999998,0.0,0.0,0.0,0.0,"{""frwd"": -8.514}"
21,P,E,frwd,-10.0,-2.7726089999999997,0.0,0.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
22,E,E,frwd,-10.0,-2.2197,0.0,0.0,0.0,0.0,"{""frwd"": -6.569999999999999}"
23,S,S1,,-1.0,-2.2197,0.0,0.0,0.0,0.0,"{""frwd"": -6.193178999999999}"
24,S1,P,frwd,-5.0,-1.7312767499999997,0.0,0.0,0.0,0.0,"{""frwd"": -10.733699999999999}"
25,P,E,frwd,-10.0,-2.5401453000000003,0.0,0.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
26,E,E,frwd,-10.0,-1.8316199999999998,0.0,0.0,0.0,0.0,"{""frwd"": -7.598999999999999}"
27,S,S1,,-1.0,-1.8316199999999998,0.0,0.0,0.0,0.0,"{""frwd"": -8.7333243}"
28,S1,G,frwd,10.0,-1.897732956,0.0,0.0,0.0,0.0,"{""frwd"": 5.1}"
29,G,G,frwd,10.0,6.9969972899999995,0.0,0.0,0.0,0.0,"{""frwd"": 5.1}"
30,S,S1,,-1.0,6.9969972899999995,0.0,0.0,0.0,0.0,"{""frwd"": -1.7363270100000001}"
31,S1,G,frwd,10.0,0.5607761990999995,0.0,0.0,0.0,0.0,"{""frwd"": 6.569999999999999}"
32,G,G,frwd,10.0,5.294798103,0.0,0.0,0.0,0.0,"{""frwd"": 6.569999999999999}"
33,S,S1,,-1.0,5.294798103,0.0,0.0,0.0,0.0,"{""frwd"": 3.5584710929999996}"
34,S1,P,frwd,-5.0,1.8221388271799996,0.0,0.0,0.0,0.0,"{""frwd"": -12.565319999999998}"
35,P,E,frwd,-10.0,-5.9601777279000006,0.0,0.0,0.0,0.0,"{""frwd"": -8.3193}"
36,E,E,frwd,-10.0,-1.476615,0.0,0.0,0.0,0.0,"{""frwd"": -8.3193}"
37,S,S1,,-1.0,-1.476615,0.0,0.0,0.0,0.0,"{""frwd"": -2.401706634900001}"
38,S1,P,frwd,-5.0,-0.3337508075070004,0.0,0.0,0.0,0.0,"{""frwd"": -14.041934999999999}"
39,P,E,frwd,-10.0,-4.570810459529999,0.0,0.0,0.0,0.0,"{""frwd"": -8.82351}"
40,E,E,frwd,-10.0,-1.1697672000000001,0.0,0.0,0.0,0.0,"{""frwd"": -8.82351}"
41,S,S1,,-1.0,-1.1697672000000001,0.0,0.0,0.0,0.0,"{""frwd"": -6.97251709443}"
42,S1,G,frwd,10.0,-1.467744389328,0.0,0.0,0.0,0.0,"{""frwd"": 7.598999999999999}"
43,G,G,frwd,10.0,7.143485128328999,0.0,0.0,0.0,0.0,"{""frwd"": 7.598999999999999}"
44,S,S1,,-1.0,7.143485128328999,0.0,0.0,0.0,0.0,"{""frwd"": 0.1709680338989994}"
45,S1,G,frwd,10.0,0.9013199121192299,0.0,0.0,0.0,0.0,"{""frwd"": 8.3193}"
46,G,G,frwd,10.0,5.194920589830299,0.0,0.0,0.0,0.0,"{""frwd"": 8.3193}"
47,S,S1,,-1.0,5.194920589830299,0.0,0.0,0.0,0.0,"{""frwd"": 5.365888623729298}"
48,S1,P,frwd,-5.0,2.0335524977376416,0.0,0.0,0.0,0.0,"{""frwd"": -15.2117022}"
49,P,E,frwd,-10.0,-7.216926181118788,0.0,0.0,0.0,0.0,"{""frwd"": -9.176457000000001}"
50,E,E,frwd,-10.0,-0.9141327300000005,0.0,0.0,0.0,0.0,"{""frwd"": -9.176457000000001}"
51,S,S1,,-1.0,-0.9141327300000005,0.0,0.0,0.0,0.0,"{""frwd"": -1.85103755738949}"
52,S1,P,frwd,-5.0,-0.5250833204857236,0.0,0.0,0.0,0.0,"{""frwd"": -16.12583493}"
53,P,E,frwd,-10.0,-5.298664163883154,0.0,0.0,0.0,0.0,"{""frwd"": -9.4235199}"
54,E,E,frwd,-10.0,-0.706599894,0.0,0.0,0.0,0.0,"{""frwd"": -9.4235199}"
55,S,S1,,-1.0,-0.706599894,0.0,0.0,0.0,0.0,"{""frwd"": -7.149701721272644}"
56,S1,G,frwd,10.0,-1.7981976485884579,0.0,0.0,0.0,0.0,"{""frwd"": 8.82351}"
57,G,G,frwd,10.0,7.527258216381792,0.0,0.0,0.0,0.0,"{""frwd"": 8.82351}"
58,S,S1,,-1.0,7.527258216381792,0.0,0.0,0.0,0.0,"{""frwd"": 0.37755649510914857}"
59,S1,P,frwd,-5.0,0.7736213644111631,0.0,0.0,0.0,0.0,"{""frwd"": -16.832434824}"
60,P,E,frwd,-10.0,-6.158024351012744,0.0,0.0,0.0,0.0,"{""frwd"": -9.59646393}"
61,E,E,frwd,-10.0,-0.5413148138999997,0.0,0.0,0.0,0.0,"{""frwd"": -9.59646393}"
62,S,S1,,-1.0,-0.5413148138999997,0.0,0.0,0.0,0.0,"{""frwd"": -5.780467855903596}"
63,S1,P,frwd,-5.0,-1.1211316196856267,0.0,0.0,0.0,0.0,"{""frwd"": -17.373749637899998}"
64,P,E,frwd,-10.0,-4.45677204546192,0.0,0.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
65,E,E,frwd,-10.0,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -9.717524751000001}"
66,S,S1,,-1.0,-0.4116067914000013,0.0,0.0,0.0,0.0,"{""frwd"": -10.237239901365516}"
67,S1,P,frwd,-5.0,-1.9881205860546574,0.0,0.0,0.0,0.0,"{""frwd"": -17.7853564293}"
68,P,E,frwd,-10.0,-3.230874265501345,0.0,0.0,0.0,0.0,"{""frwd"": -9.8022673257}"
69,E,E,frwd,-10.0,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -9.8022673257}"
70,S,S1,,-1.0,-0.3110052491490009,0.0,0.0,0.0,0.0,"{""frwd"": -13.468114166866862}"
71,S1,P,frwd,-5.0,-2.2640204619236233,0.0,0.0,0.0,0.0,"{""frwd"": -18.096361678449}"
72,P,E,frwd,-10.0,-2.3455834031211715,0.0,0.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
73,E,E,frwd,-10.0,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -9.861587127990001}"
74,S,S1,,-1.0,-0.2337200210226008,0.0,0.0,0.0,0.0,"{""frwd"": -15.813697569988033}"
75,S1,P,frwd,-5.0,-2.218121842189252,0.0,0.0,0.0,0.0,"{""frwd"": -18.330081699471602}"
76,P,E,frwd,-10.0,-1.7050127878609227,0.0,0.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
77,E,E,frwd,-10.0,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -9.903110989593001}"
78,S,S1,,-1.0,-0.17481545734862927,0.0,0.0,0.0,0.0,"{""frwd"": -17.518710357848956}"
